epoch,Accuracy,learning_rate,loss,val_Accuracy,val_loss
0,0.7321272492408752,9.999999747378752e-05,0.7859545350074768,0.8546000123023987,0.40531787276268005
1,0.8464909195899963,9.999999747378752e-05,0.4479835629463196,0.8924000263214111,0.3026496469974518
2,0.8697454333305359,9.999999747378752e-05,0.36757364869117737,0.9088000059127808,0.2681911587715149
3,0.8881818056106567,9.999999747378752e-05,0.31510525941848755,0.9065999984741211,0.24878139793872833
4,0.9012545347213745,9.999999747378752e-05,0.28072646260261536,0.91839998960495,0.22294723987579346
5,0.9108726978302002,9.999999747378752e-05,0.2508769631385803,0.9186000227928162,0.21797990798950195
6,0.9170545339584351,9.999999747378752e-05,0.2356046587228775,0.923799991607666,0.20769502222537994
7,0.92372727394104,9.999999747378752e-05,0.21637699007987976,0.9218000173568726,0.2011769413948059
8,0.9291090965270996,9.999999747378752e-05,0.19659416377544403,0.9273999929428101,0.20132964849472046
9,0.9332181811332703,9.999999747378752e-05,0.18589940667152405,0.9351999759674072,0.18629086017608643
10,0.937218189239502,9.999999747378752e-05,0.17272885143756866,0.9259999990463257,0.1951248049736023
11,0.9423454403877258,9.999999747378752e-05,0.16045022010803223,0.9345999956130981,0.18638713657855988
12,0.9450363516807556,9.999999747378752e-05,0.1491771787405014,0.9350000023841858,0.18850843608379364
13,0.9493454694747925,9.999999747378752e-05,0.1396331638097763,0.9390000104904175,0.17421093583106995
14,0.9521454572677612,9.999999747378752e-05,0.1300285905599594,0.9330000281333923,0.1958758533000946
15,0.9556363821029663,9.999999747378752e-05,0.12083359062671661,0.9332000017166138,0.19494085013866425
16,0.9582727551460266,9.999999747378752e-05,0.11440794914960861,0.9383999705314636,0.1942937672138214
17,0.9606363773345947,9.999999747378752e-05,0.10769123584032059,0.9287999868392944,0.22834482789039612
18,0.9636726975440979,9.999999747378752e-05,0.09890758991241455,0.9430000185966492,0.18873412907123566
19,0.9746000170707703,9.999999747378752e-06,0.07106781005859375,0.9441999793052673,0.18832284212112427
20,0.9777454733848572,9.999999747378752e-06,0.06130358204245567,0.944599986076355,0.19349396228790283
